10-21 17:24:52.644   32547-32547   C01719/appspawn/ffrt            pid-32547             W     1:ChildHandle:150 ffts shared library handle is null
10-21 17:25:03.717   32547-32547   C02C11/appspawn/APPSPAWN        apppool               I     [appspawn_server.c:70]AppSpawnChild id 224 flags: 0xc
10-21 17:25:03.718   32547-32547   C02C02/PARAM                    apppool               I     [param_request.c:326]ResetParamSecurityLabel g_clientFd: 17
10-21 17:25:03.721   32547-32547   C02C11/org.map...mony/APPSPAWN  apppool               I     [sandbox_utils.cpp:334]errno is: 2, bind mount /system/data to /mnt/sandbox/100/org.maplibre.harmony/system/data
10-21 17:25:03.722   32547-32547   C02C11/org.map...mony/APPSPAWN  apppool               I     [sandbox_utils.cpp:289]file /mnt/sandbox/100/org.maplibre.harmony/data/service/el1/network/hosts_user/hosts already exist
10-21 17:25:03.722   32547-32547   C02C11/org.map...mony/APPSPAWN  apppool               I     [sandbox_utils.cpp:334]errno is: 2, bind mount /system/etc/hosts to /mnt/sandbox/100/org.maplibre.harmony/data/service/el1/network/hosts_user/hosts
10-21 17:25:03.722   32547-32547   C02C11/org.map...mony/APPSPAWN  apppool               I     [sandbox_utils.cpp:334]errno is: 2, bind mount /vendor/lib to /mnt/sandbox/100/org.maplibre.harmony/vendor/lib
10-21 17:25:03.722   32547-32547   C02C11/org.map...mony/APPSPAWN  apppool               E     [sandbox_utils.cpp:345]errno is: 13, private mount to /mnt/sandbox/100/org.maplibre.harmony/vendor/etc/vulkan '524288' failed
10-21 17:25:03.724   32547-32547   C02C11/org.map...mony/APPSPAWN  apppool               I     [sandbox_utils.cpp:334]errno is: 2, bind mount /data/local/ark-cache/org.maplibre.harmony to /mnt/sandbox/100/org.maplibre.harmony/data/storage/ark-cache
10-21 17:25:03.725   32547-32547   C02C11/org.map...mony/APPSPAWN  apppool               E     [sandbox_utils.cpp:345]errno is: 13, private mount to /mnt/sandbox/100/org.maplibre.harmony/data/service/el0/public/for-all-app '524288' failed
10-21 17:25:03.726   32547-32547   C02C11/org.map...mony/APPSPAWN  apppool               I     [sandbox_utils.cpp:334]errno is: 2, bind mount /vendor/etc/silk to /mnt/sandbox/100/org.maplibre.harmony/vendor/etc/silk
10-21 17:25:03.727   32547-32547   C02C11/org.map...mony/APPSPAWN  apppool               E     [sandbox_utils.cpp:329]mount /mnt/hmdfs/100/cloud/data/org.maplibre.harmony time 546 us
10-21 17:25:03.727   32547-32547   C02C11/org.map...mony/APPSPAWN  apppool               I     [sandbox_utils.cpp:334]errno is: 2, bind mount /system/asan/lib64 to /mnt/sandbox/100/org.maplibre.harmony/system/asan/lib64
10-21 17:25:03.728   32547-32547   C02C11/org.map...mony/APPSPAWN  apppool               I     [sandbox_utils.cpp:334]errno is: 2, bind mount /vendor/asan/lib64 to /mnt/sandbox/100/org.maplibre.harmony/vendor/asan/lib64
10-21 17:25:03.728   32547-32547   C02C11/org.map...mony/APPSPAWN  apppool               E     [sandbox_utils.cpp:345]errno is: 13, private mount to /mnt/sandbox/100/org.maplibre.harmony/chip_prod/lib64/passthrough '524288' failed
10-21 17:25:03.728   32547-32547   C02C11/org.map...mony/APPSPAWN  apppool               I     [sandbox_utils.cpp:334]errno is: 2, bind mount /system/app/ohos.global.systemres to /mnt/sandbox/100/org.maplibre.harmony/data/global/systemResources
10-21 17:25:03.729   32547-32547   C02C11/org.map...mony/APPSPAWN  apppool               I     [sandbox_utils.cpp:1528]MountAllHsp: app = org.maplibre.harmony, cnt = 12
10-21 17:25:03.730   32547-32547   C02C11/org.map...mony/APPSPAWN  apppool               I     [sandbox_utils.cpp:500]tmpSandboxPath /mnt/sandbox/100/org.maplibre.harmony/mnt/storage/Users
10-21 17:25:03.730   32547-32547   C02C11/org.map...mony/APPSPAWN  apppool               I     [sandbox_utils.cpp:500]tmpSandboxPath /mnt/sandbox/100/org.maplibre.harmony/mnt/storage/external
10-21 17:25:03.730   32547-32547   C02C11/org.map...mony/APPSPAWN  apppool               I     [sandbox_utils.cpp:500]tmpSandboxPath /mnt/sandbox/100/org.maplibre.harmony/mnt/storage/hmdfs
10-21 17:25:03.731   32547-32547   C02C11/org.map...mony/APPSPAWN  apppool               I     [sandbox_dec.c:203]set SET_DEC_POLICY_CMD sandbox policy success. timestamp:1170290684195
10-21 17:25:03.731   32547-32547   C02C11/org.map...mony/APPSPAWN  apppool               I     [sandbox_dec.c:205]policy info: /storage/Users/currentUser/Download/org.maplibre.harmony
10-21 17:25:03.731   32547-32547   C02C11/org.map...mony/APPSPAWN  apppool               E     [appspawn_silk.c:118]Load silk library failed for configItems is NULL
10-21 17:25:03.738   32547-32547   C05A05/org.map...EnhanceClient  apppool               I     [RegisterCheckCallback]Register secComp: sessionId=1201982633, seqNum=******115.
10-21 17:25:03.738   32547-32804   C057C1/org.map...IPCWorkThread  apppool               I     ThreadHandler 124: proto:0 policy:1 name:OS_IPC_0_32804 invoker:568586880
10-21 17:25:03.738   32547-32805   C057C1/org.map...IPCWorkThread  apppool               I     ThreadHandler 124: proto:0 policy:0 name:OS_IPC_1_32805 invoker:500785024
10-21 17:25:03.739   32547-32547   C05A02/org.map...yManagerProxy  apppool               I     [RegisterSecCompEnhance:329]Result from server data = 0
10-21 17:25:03.739   32547-32547   C02C11/org.map...mony/APPSPAWN  apppool               I     [appspawn_server.c:34]NotifyResToParent: 0
10-21 17:25:03.739   32547-32547   C02D0B/org.map...ony/HICHECKER  apppool               I     hichecker param is empty.
10-21 17:25:03.741   32547-32547   C01317/org.map...armony/AppKit  apppool               I     [main_thread.cpp:2687]App main thread create, pid:32547
10-21 17:25:03.741   32547-32547   C01201/org.mapl...EventHandler  apppool               I     Create eventHandler 1_1170301268049
10-21 17:25:03.743   32547-32547   C01317/org.map...armony/AppKit  apppool               I     [main_thread.cpp:361]attach to appMGR.
10-21 17:25:03.746   32547-32804   C01317/org.map...armony/AppKit  apppool               I     [main_thread.cpp:724]ScheduleLaunchAbility called, ability MaplibreAbility, type is 1.
