10-28 23:16:30.871   43901-43901   C01719/appspawn/ffrt            pid-43901             W     1:ChildHandle:150 ffts shared library handle is null
10-28 23:16:31.110   43901-43901   C02C11/appspawn/APPSPAWN        pid-43901             I     [appspawn_server.c:70]AppSpawnChild id 5626 flags: 0xc
10-28 23:16:31.111   43901-43901   C02C02/PARAM                    pid-43901             I     [param_request.c:326]ResetParamSecurityLabel g_clientFd: 17
10-28 23:16:31.114   43901-43901   C02C11/org.map...mony/APPSPAWN  pid-43901             I     [sandbox_utils.cpp:334]errno is: 2, bind mount /system/data to /mnt/sandbox/100/org.maplibre.harmony/system/data
10-28 23:16:31.114   43901-43901   C02C11/org.map...mony/APPSPAWN  pid-43901             I     [sandbox_utils.cpp:289]file /mnt/sandbox/100/org.maplibre.harmony/data/service/el1/network/hosts_user/hosts already exist
10-28 23:16:31.114   43901-43901   C02C11/org.map...mony/APPSPAWN  pid-43901             I     [sandbox_utils.cpp:334]errno is: 2, bind mount /system/etc/hosts to /mnt/sandbox/100/org.maplibre.harmony/data/service/el1/network/hosts_user/hosts
10-28 23:16:31.114   43901-43901   C02C11/org.map...mony/APPSPAWN  pid-43901             I     [sandbox_utils.cpp:334]errno is: 2, bind mount /vendor/lib to /mnt/sandbox/100/org.maplibre.harmony/vendor/lib
10-28 23:16:31.114   43901-43901   C02C11/org.map...mony/APPSPAWN  pid-43901             E     [sandbox_utils.cpp:345]errno is: 13, private mount to /mnt/sandbox/100/org.maplibre.harmony/vendor/etc/vulkan '524288' failed
10-28 23:16:31.116   43901-43901   C02C11/org.map...mony/APPSPAWN  pid-43901             I     [sandbox_utils.cpp:334]errno is: 2, bind mount /data/local/ark-cache/org.maplibre.harmony to /mnt/sandbox/100/org.maplibre.harmony/data/storage/ark-cache
10-28 23:16:31.118   43901-43901   C02C11/org.map...mony/APPSPAWN  pid-43901             E     [sandbox_utils.cpp:345]errno is: 13, private mount to /mnt/sandbox/100/org.maplibre.harmony/data/service/el0/public/for-all-app '524288' failed
10-28 23:16:31.119   43901-43901   C02C11/org.map...mony/APPSPAWN  pid-43901             I     [sandbox_utils.cpp:334]errno is: 2, bind mount /vendor/etc/silk to /mnt/sandbox/100/org.maplibre.harmony/vendor/etc/silk
10-28 23:16:31.119   43901-43901   C02C11/org.map...mony/APPSPAWN  pid-43901             I     [sandbox_utils.cpp:334]errno is: 2, bind mount /system/asan/lib64 to /mnt/sandbox/100/org.maplibre.harmony/system/asan/lib64
10-28 23:16:31.119   43901-43901   C02C11/org.map...mony/APPSPAWN  pid-43901             I     [sandbox_utils.cpp:334]errno is: 2, bind mount /vendor/asan/lib64 to /mnt/sandbox/100/org.maplibre.harmony/vendor/asan/lib64
10-28 23:16:31.119   43901-43901   C02C11/org.map...mony/APPSPAWN  pid-43901             E     [sandbox_utils.cpp:345]errno is: 13, private mount to /mnt/sandbox/100/org.maplibre.harmony/chip_prod/lib64/passthrough '524288' failed
10-28 23:16:31.119   43901-43901   C02C11/org.map...mony/APPSPAWN  pid-43901             I     [sandbox_utils.cpp:334]errno is: 2, bind mount /system/app/ohos.global.systemres to /mnt/sandbox/100/org.maplibre.harmony/data/global/systemResources
10-28 23:16:31.120   43901-43901   C02C11/org.map...mony/APPSPAWN  pid-43901             I     [sandbox_utils.cpp:1528]MountAllHsp: app = org.maplibre.harmony, cnt = 12
10-28 23:16:31.122   43901-43901   C02C11/org.map...mony/APPSPAWN  pid-43901             I     [sandbox_utils.cpp:500]tmpSandboxPath /mnt/sandbox/100/org.maplibre.harmony/mnt/storage/Users
10-28 23:16:31.122   43901-43901   C02C11/org.map...mony/APPSPAWN  pid-43901             I     [sandbox_utils.cpp:500]tmpSandboxPath /mnt/sandbox/100/org.maplibre.harmony/mnt/storage/external
10-28 23:16:31.123   43901-43901   C02C11/org.map...mony/APPSPAWN  pid-43901             I     [sandbox_utils.cpp:500]tmpSandboxPath /mnt/sandbox/100/org.maplibre.harmony/mnt/storage/hmdfs
10-28 23:16:31.124   43901-43901   C02C11/org.map...mony/APPSPAWN  pid-43901             I     [sandbox_dec.c:203]set SET_DEC_POLICY_CMD sandbox policy success. timestamp:359505805321161
10-28 23:16:31.124   43901-43901   C02C11/org.map...mony/APPSPAWN  pid-43901             I     [sandbox_dec.c:205]policy info: /storage/Users/currentUser/Download/org.maplibre.harmony
10-28 23:16:31.124   43901-43901   C02C11/org.map...mony/APPSPAWN  pid-43901             E     [appspawn_silk.c:118]Load silk library failed for configItems is NULL
10-28 23:16:31.129   43901-43901   C05A05/org.map...EnhanceClient  pid-43901             I     [RegisterCheckCallback]Register secComp: sessionId=2815178518, seqNum=******056.
10-28 23:16:31.129   43901-43981   C057C1/org.map...IPCWorkThread  pid-43901             I     ThreadHandler 124: proto:0 policy:1 name:OS_IPC_0_43981 invoker:568591360
10-28 23:16:31.129   43901-43982   C057C1/org.map...IPCWorkThread  pid-43901             I     ThreadHandler 124: proto:0 policy:0 name:OS_IPC_1_43982 invoker:500784384
10-28 23:16:31.133   43901-43901   C05A02/org.map...yManagerProxy  pid-43901             I     [RegisterSecCompEnhance:329]Result from server data = 0
10-28 23:16:31.133   43901-43901   C02C11/org.map...mony/APPSPAWN  pid-43901             I     [appspawn_server.c:34]NotifyResToParent: 0
10-28 23:16:31.134   43901-43901   C02D0B/org.map...ony/HICHECKER  pid-43901             I     hichecker param is empty.
10-28 23:16:31.135   43901-43901   C01317/org.map...armony/AppKit  pid-43901             I     [main_thread.cpp:2687]App main thread create, pid:43901
10-28 23:16:31.136   43901-43901   C01201/org.mapl...EventHandler  pid-43901             I     Create eventHandler 1_359505817459702
10-28 23:16:31.138   43901-43901   C01317/org.map...armony/AppKit  pid-43901             I     [main_thread.cpp:361]attach to appMGR.
10-28 23:16:31.143   43901-43982   C01317/org.map...armony/AppKit  pid-43901             I     [main_thread.cpp:724]ScheduleLaunchAbility called, ability MaplibreAbility, type is 1.
10-28 23:16:31.143   43901-43901   C03900/org.map...ACE_UIContent  pid-43901             I     [74]AceForwardCompatibility [org.maplibre.harmony] force:1 newpipe:1
10-28 23:16:31.144   43901-43901   C03F00/org.map...y/ArkCompiler  pid-43901             I     [ecmascript] asmint: 1, aot: 0, jit: 1, baseline jit: 0, bundle name: org.maplibre.harmony
10-28 23:16:31.144   43901-43984   C057C1/org.map...IPCWorkThread  pid-43901             I     ThreadHandler 124: proto:0 policy:0 name:OS_IPC_2_43984 invoker:506932736
10-28 23:16:31.145   43901-43901   C03F00/org.map...y/ArkCompiler  pid-43901             I     [ecmascript] multi-thread check enabled: 0
10-28 23:16:31.150   43901-43901   C03F00/org.map...y/ArkCompiler  pid-43901             I     [gc] SmartGC: enter app cold start
10-28 23:16:31.150   43901-43901   C03F00/org.map...y/ArkCompiler  pid-43901             I     [gc] SmartGC: startup GC restrain, phase 1 threshold: local 448MB, shared 354MB; phase 2 threshold: local 112MB, shared 145MB
10-28 23:16:31.150   43901-43901   C03301/org.map...harmony/LIBUV  pid-43901             I     init:386980458752
10-28 23:16:31.150   43901-43901   C03301/org.map...harmony/LIBUV  pid-43901             I     init:386980458752, backend_fd:6
10-28 23:16:31.150   43901-43901   C03301/org.map...harmony/LIBUV  pid-43901             I     open:386980458752, pipefd[0]:22
10-28 23:16:31.151   43901-43901   C03F00/org.map...y/ArkCompiler  pid-43901             I     [ecmascript] can not find aot file
10-28 23:16:31.151   43901-43901   C03F00/org.map...y/ArkCompiler  pid-43901             I     [ecmascript] Stop load AOT because it's not in enable list
10-28 23:16:31.151   43901-43901   C01321/org.map...ony/JsRuntime  pid-43901             I     [js_runtime_lite.cpp:455]moduleName: maplibre_harmony parse json success
10-28 23:16:31.152   43901-43901   C01719/org.map....harmony/ffrt  pid-43901             I     2:QueueMonitor:41 queue monitor ctor enter
10-28 23:16:31.152   43901-43901   C01719/org.map....harmony/ffrt  pid-43901             I     3:QueueMonitor:53 queue monitor ctor leave, watchdog timeout 30000000 us
10-28 23:16:31.152   43901-43901   C01719/org.map....harmony/ffrt  pid-43901             I     4:DelayedWorker:205 timerfd:58, monitorfd:59
10-28 23:16:31.152   43901-43991   C01719/org.map....harmony/ffrt  pid-43901             W     5:RunForever:41 [-1915082360] set priority warn ret[1] eno[0]
10-28 23:16:31.158   43901-43993   C01719/org.map....harmony/ffrt  pid-43901             W     6:operator():115 [-1911912056] set priority warn ret[1] eno[0]
10-28 23:16:31.159   43901-43901   C03F00/org.map...y/ArkCompiler  pid-43901             I     StartServer, componentName = <private>
10-28 23:16:31.159   43901-43901   C01321/org.map...ony/JsRuntime  pid-43901             W     [connect_server_manager.cpp:165]not Connected
10-28 23:16:31.159   43901-43901   C03F00/org.map...y/ArkCompiler  pid-43901             I     [ecmascript] JSNApi::NotifyDebugMode, tid = 43901, debugApp = 1, isDebugMode = 0, instanceId = 0
10-28 23:16:31.160   43901-43901   C03F00/org.map...y/ArkCompiler  pid-43901             I     [compiler] __jit_debug_register_code() is called.
10-28 23:16:31.160   43901-43901   C03F00/org.map...y/ArkCompiler  pid-43901             I     [compiler] success to register stub.an to debugger.
10-28 23:16:31.163   43901-43995   C01317/org.map...armony/AppKit  pid-43901             I     [dump_runtime_helper.cpp:352]File existed. dir: /data/storage/el2/base/cache/rawheap
10-28 23:16:31.163   43901-43901   C01E00/org.map...sourceManager  pid-43901             I     CreateResourceManagerDef LoadThemeRes
10-28 23:16:31.163   43901-43901   C01E00/org.map...sourceManager  pid-43901             W     update userId, currentUserId_= 0, userId= 100
10-28 23:16:31.164   43901-43901   C01336/org.map...e.harmony/AMS  pid-43901             E     [main_thread.cpp:3496]emptye config
10-28 23:16:31.166   43901-43996   C01653/org.map...vePreferences  pid-43901             W     LoadFromDisk: The settingXml /***/el2/***/i18*** load failed.
10-28 23:16:31.166   43901-43901   C01301/org.map...rmony/Ability  pid-43901             W     [resource_config_helper.cpp:157]invalid source:
