10-20 10:55:40.076     0     0 I I00000/HiLog: ========Zeroth log of type: init
10-20 10:55:46.111   414   414 I I02c01/CustCarrierMount: UpdateCotaOpkeyLink start
10-20 10:55:46.111   414   414 W I02c01/CustCarrierMount: not exsit CUST_GLOBAL_CARRIER_DIR or COTA_PARAM_CARRIER_DIR
10-20 10:55:46.629   414   414 I I02c01/CustCarrierMount: success to update cota carrier
10-20 14:19:00.003  1227  1227 W A01c06/ICON: AppIconCalendarCache --> recevice date change event, nowData: 20, dateText: , image is empty: true
10-20 14:19:00.003  1227  1227 W A01c06/ICON: AppIconCalendarCache --> data changed to update calendar icon.
10-20 14:19:00.003  1227  1227 W A01c06/ICON: AppIconCalendarCache --> init calendar item: undefined undefined
10-20 14:19:00.003  1227  1227 W A01c06/ICON: AppIconCalendarCache --> com.huawei.hmos.calendar is not dynamic icon, bundleName is undefined
10-20 14:19:00.003  1227  1227 E A01c06/ICON: AppIconCalendarCache --> backgroundImage resource error
10-20 14:19:00.003  1227  1227 E A01c06/ICON: AppIconCalendarCache --> calendarForegroundBuilder is null
10-20 14:20:00.009  1227  1227 I A01b00/SCB: CommonEventManagerA --> handleCommonEventCallback post inner event:usual.event.TIME_TICK
10-20 14:20:00.010  1227  1227 W A01c06/ICON: AppIconCalendarCache --> recevice date change event, nowData: 20, dateText: , image is empty: true
10-20 14:20:00.010  1227  1227 W A01c06/ICON: AppIconCalendarCache --> data changed to update calendar icon.
10-20 14:20:00.010  1227  1227 W A01c06/ICON: AppIconCalendarCache --> init calendar item: undefined undefined
10-20 14:20:00.010  1227  1227 W A01c06/ICON: AppIconCalendarCache --> com.huawei.hmos.calendar is not dynamic icon, bundleName is undefined
10-20 14:20:00.010  1227  1227 E A01c06/ICON: AppIconCalendarCache --> backgroundImage resource error
10-20 14:20:00.010  1227  1227 E A01c06/ICON: AppIconCalendarCache --> calendarForegroundBuilder is null
10-20 14:21:00.018  1227  1227 I A01b00/SCB: CommonEventManagerA --> handleCommonEventCallback post inner event:usual.event.TIME_TICK
10-20 14:21:00.018  1227  1227 W A01c06/ICON: AppIconCalendarCache --> recevice date change event, nowData: 20, dateText: , image is empty: true
10-20 14:21:00.018  1227  1227 W A01c06/ICON: AppIconCalendarCache --> data changed to update calendar icon.
