10-20 11:13:08.496   24748-24748   C01719/ffrt                     pid-24748             W     1:ffrt_child_init:198 ffts shared library handle is null
10-20 11:13:08.973   24748-24748   C02c11/APPSPAWN                 pid-24748             I     [appspawn_server.c:74]AppSpawnChild id 24 flags: 0xc
10-20 11:13:08.973   24748-24748   C02c02/PARAM                    pid-24748             I     [param_request.c:326]ResetParamSecurityLabel Fd:18
10-20 11:13:08.973   24748-24748   C02c11/APPSPAWN                 pid-24748             E     [asan_detector.c:105]Not wrap org.maplibre.harmony.
10-20 11:13:08.974   24748-24748   C02c11/APPSPAWN                 pid-24748             I     [sandbox_utils.cpp:371]errno is: 2, bind mount /system/data to /mnt/sandbox/100/org.maplibre.harmony/system/data
10-20 11:13:08.974   24748-24748   C02c11/APPSPAWN                 pid-24748             I     [sandbox_utils.cpp:371]errno is: 2, bind mount /system/etc/hosts to /mnt/sandbox/100/org.maplibre.harmony/data/service/el1/network/hosts_user/hosts
10-20 11:13:08.974   24748-24748   C02c11/APPSPAWN                 pid-24748             I     [sandbox_utils.cpp:371]errno is: 2, bind mount /vendor/lib to /mnt/sandbox/100/org.maplibre.harmony/vendor/lib
10-20 11:13:08.974   24748-24748   C02c11/APPSPAWN                 pid-24748             I     [sandbox_utils.cpp:371]errno is: 2, bind mount /vendor/etc/hiai to /mnt/sandbox/100/org.maplibre.harmony/vendor/etc/hiai
10-20 11:13:08.974   24748-24748   C02c11/APPSPAWN                 pid-24748             I     [sandbox_utils.cpp:371]errno is: 2, bind mount /data/data/hiai to /mnt/sandbox/100/org.maplibre.harmony/data/data/hiai
10-20 11:13:08.975   24748-24748   C02c11/APPSPAWN                 pid-24748             I     [sandbox_utils.cpp:371]errno is: 2, bind mount /data/app/el1/public/aot_compiler/ark_cache/org.maplibre.harmony to /mnt/sandbox/100/org.maplibre.harmony/data/storage/ark-cache
10-20 11:13:08.975   24748-24748   C02c11/APPSPAWN                 pid-24748             E     [sandbox_utils.cpp:287]check dir /data/app/el1/public/aot_compiler/ark_cache/org.maplibre.harmony failed, strerror: No such file or directory
10-20 11:13:08.975   24748-24748   C02c11/APPSPAWN                 pid-24748             I     [sandbox_utils.cpp:371]errno is: 2, bind mount /data/app/el1/public/shader_cache/cloud/org.maplibre.harmony to /mnt/sandbox/100/org.maplibre.harmony/data/storage/shader_cache/cloud
10-20 11:13:08.975   24748-24748   C02c11/APPSPAWN                 pid-24748             E     [sandbox_utils.cpp:287]check dir /data/app/el1/public/shader_cache/cloud/org.maplibre.harmony failed, strerror: No such file or directory
10-20 11:13:08.975   24748-24748   C02c11/APPSPAWN                 pid-24748             I     [sandbox_utils.cpp:371]errno is: 2, bind mount /data/service/el1/public/themes/100/a/app to /mnt/sandbox/100/org.maplibre.harmony/data/themes/a/app
10-20 11:13:08.975   24748-24748   C02c11/APPSPAWN                 pid-24748             I     [sandbox_utils.cpp:371]errno is: 2, bind mount /data/service/el1/public/themes/100/b/app to /mnt/sandbox/100/org.maplibre.harmony/data/themes/b/app
10-20 11:13:08.975   24748-24748   C02c11/APPSPAWN                 pid-24748             I     [sandbox_utils.cpp:381]errno is: 13, private mount to /mnt/sandbox/100/org.maplibre.harmony/data/service/el0/public/for-all-app '524288' failed
10-20 11:13:08.976   24748-24748   C02c11/APPSPAWN                 pid-24748             I     [sandbox_utils.cpp:371]errno is: 2, bind mount /chip_prod/etc/passthrough to /mnt/sandbox/100/org.maplibre.harmony/chip_prod/etc/passthrough
10-20 11:13:08.976   24748-24748   C02c11/APPSPAWN                 pid-24748             I     [sandbox_utils.cpp:371]errno is: 2, bind mount /vendor/etc/vulkan to /mnt/sandbox/100/org.maplibre.harmony/vendor/etc/vulkan
10-20 11:13:08.976   24748-24748   C02c11/APPSPAWN                 pid-24748             I     [sandbox_utils.cpp:371]errno is: 2, bind mount /mnt/hmdfs/100/cloud/data/org.maplibre.harmony to /mnt/sandbox/100/org.maplibre.harmony/data/storage/el2/cloud
10-20 11:13:08.976   24748-24748   C02c11/APPSPAWN                 pid-24748             I     [sandbox_utils.cpp:371]errno is: 2, bind mount /vendor/etc/silk to /mnt/sandbox/100/org.maplibre.harmony/vendor/etc/silk
10-20 11:13:08.976   24748-24748   C02c11/APPSPAWN                 pid-24748             I     [sandbox_utils.cpp:371]errno is: 2, bind mount /system/asan/lib64 to /mnt/sandbox/100/org.maplibre.harmony/system/asan/lib64
10-20 11:13:08.976   24748-24748   C02c11/APPSPAWN                 pid-24748             I     [sandbox_utils.cpp:371]errno is: 2, bind mount /vendor/asan/lib64 to /mnt/sandbox/100/org.maplibre.harmony/vendor/asan/lib64
10-20 11:13:08.976   24748-24748   C02c11/APPSPAWN                 pid-24748             I     [sandbox_utils.cpp:371]errno is: 2, bind mount /chip_prod/lib64/passthrough to /mnt/sandbox/100/org.maplibre.harmony/chip_prod/lib64/passthrough
10-20 11:13:08.976   24748-24748   C02c11/APPSPAWN                 pid-24748             I     [sandbox_utils.cpp:371]errno is: 2, bind mount /system/app/ohos.global.systemres to /mnt/sandbox/100/org.maplibre.harmony/data/global/systemResources
10-20 11:13:08.976   24748-24748   C02c11/APPSPAWN                 pid-24748             I     [sandbox_utils.cpp:371]errno is: 2, bind mount /data/preload/app to /mnt/sandbox/100/org.maplibre.harmony/data/preload/app
10-20 11:13:08.980   24748-24748   C02c11/APPSPAWN                 pid-24748             I     [sandbox_utils.cpp:1181]uname sysname is linux
10-20 11:13:08.984   24748-24748   C02c11/APPSPAWN                 pid-24748             E     [sandbox_utils.cpp:366]mount /mnt/sandbox/100/org.maplibre.harmony/mnt/storage/Users time 10000 us
10-20 11:13:08.989   24748-24748   C02c11/APPSPAWN                 pid-24748             E     [sandbox_dec.c:178]open dec file fail.
10-20 11:13:08.989   24748-24748   C02c11/APPSPAWN                 pid-24748             E     [appspawn_silk.c:118]ConfigItems is NULL
10-20 11:13:08.994   24748-24748   C05a05/SecCompEnhanceClient     pid-24748             I     [RegisterCheckCallback]Register secComp: sessionId=1122312828, seqNum=******734.
10-20 11:13:08.994   24748-24912   C057c1/IPCWorkThread            pid-24748             I     ThreadHandler 119: proto:0 policy:1 name:OS_IPC_0_24912 invoker:1812140032
10-20 11:13:08.994   24748-24913   C057c1/IPCWorkThread            pid-24748             I     ThreadHandler 119: proto:0 policy:0 name:OS_IPC_1_24913 invoker:1888326912
10-20 11:13:08.999   24748-24748   C02c11/APPSPAWN                 pid-24748             I     [appspawn_server.c:38]NotifyResToParent: 0
10-20 11:13:08.999   24748-24748   C02d0b/HICHECKER                pid-24748             I     hichecker param is empty.
10-20 11:13:09.000   24748-24748   C01317/AppKit                   pid-24748             I     [main_thread.cpp:2885]App main thread create, pid:24748
10-20 11:13:09.000   24748-24748   C01201/EventHandler             pid-24748             I     Create eventHandler 1_1050776136292
10-20 11:13:09.008   24748-24748   C01317/AppKit                   pid-24748             I     [main_thread.cpp:398]attach to appMGR
10-20 11:13:09.015   24748-24921   C057c1/IPCWorkThread            pid-24748             I     ThreadHandler 119: proto:0 policy:0 name:OS_IPC_2_24921 invoker:1888333312
10-20 11:13:09.016   24748-24913   C01317/AppKit                   pid-24748             I     [main_thread.cpp:766]ScheduleLaunchAbility called, ability MaplibreAbility, type is 1.
10-20 11:13:09.016   24748-24748   C01317/AppKit                   pid-24748             W     [main_thread.cpp:1404]HandleLaunchApplication find entry hap module info failed
10-20 11:13:09.016   24748-24748   C03900/ACE_UIContent            pid-24748             I     [69]AceForwardCompatibility [org.maplibre.harmony] force:1 newpipe:1
10-20 11:13:09.017   24748-24748   C01317/AppKit                   pid-24748             I     [main_thread.cpp:3081]Success to dlopen /system/lib64/appdetailability/libapp_detail_ability.z.so
10-20 11:13:09.020   24748-24748   C03f00/ArkCompiler              pid-24748             I     [ecmascript] Set large heap: 0
10-20 11:13:09.020   24748-24748   C03f00/ArkCompiler              pid-24748             I     [ecmascript] asmint: 1, aot: 0, jit: 1, baseline jit: 0, bundle name: org.maplibre.harmony
10-20 11:13:09.020   24748-24748   C03f00/ArkCompiler              pid-24748             I     [ecmascript] multi-thread check enabled: 0
10-20 11:13:09.020   24748-24748   C03f00/ArkCompiler              pid-24748             I     [pgo] reset pgo profiler, pgo profiler is disabled
10-20 11:13:09.021   24748-24748   C03f00/ArkCompiler              pid-24748             I     [gc] SmartGC: enter app cold start
10-20 11:13:09.021   24748-24748   C03f00/ArkCompiler              pid-24748             I     [gc] SmartGC: startup GC restrain, phase 1 threshold: local 448MB, shared 355MB; phase 2 threshold: local 112MB, shared 145MB
10-20 11:13:09.022   24748-24748   C01707/CONCUR                   pid-24748             E     [Interface] task 24922 apply qos failed, errno = 4
10-20 11:13:09.022   24748-24748   C03301/LIBUV                    pid-24748             I     init:1876990464
10-20 11:13:09.022   24748-24748   C03301/LIBUV                    pid-24748             I     init:1876990464, backend_fd:4
10-20 11:13:09.022   24748-24748   C03301/LIBUV                    pid-24748             I     open:1876990464, pipefd[0]:24
10-20 11:13:09.023   24748-24748   C03f00/ArkCompiler              pid-24748             I     [ecmascript] can not find aot file
