10-26 10:19:15.748   34465-34465   C01719/appspawn/ffrt            pid-34465             W     1:ChildHandle:150 ffts shared library handle is null
10-26 10:19:16.071   34465-34465   C02C11/appspawn/APPSPAWN        pid-34465             I     [appspawn_server.c:70]AppSpawnChild id 3331 flags: 0xc
10-26 10:19:16.072   34465-34465   C02C02/PARAM                    pid-34465             I     [param_request.c:326]ResetParamSecurityLabel g_clientFd: 17
10-26 10:19:16.075   34465-34465   C02C11/org.map...mony/APPSPAWN  pid-34465             I     [sandbox_utils.cpp:334]errno is: 2, bind mount /system/data to /mnt/sandbox/100/org.maplibre.harmony/system/data
10-26 10:19:16.076   34465-34465   C02C11/org.map...mony/APPSPAWN  pid-34465             I     [sandbox_utils.cpp:289]file /mnt/sandbox/100/org.maplibre.harmony/data/service/el1/network/hosts_user/hosts already exist
10-26 10:19:16.076   34465-34465   C02C11/org.map...mony/APPSPAWN  pid-34465             I     [sandbox_utils.cpp:334]errno is: 2, bind mount /system/etc/hosts to /mnt/sandbox/100/org.maplibre.harmony/data/service/el1/network/hosts_user/hosts
10-26 10:19:16.076   34465-34465   C02C11/org.map...mony/APPSPAWN  pid-34465             I     [sandbox_utils.cpp:334]errno is: 2, bind mount /vendor/lib to /mnt/sandbox/100/org.maplibre.harmony/vendor/lib
10-26 10:19:16.076   34465-34465   C02C11/org.map...mony/APPSPAWN  pid-34465             E     [sandbox_utils.cpp:345]errno is: 13, private mount to /mnt/sandbox/100/org.maplibre.harmony/vendor/etc/vulkan '524288' failed
10-26 10:19:16.078   34465-34465   C02C11/org.map...mony/APPSPAWN  pid-34465             I     [sandbox_utils.cpp:334]errno is: 2, bind mount /data/local/ark-cache/org.maplibre.harmony to /mnt/sandbox/100/org.maplibre.harmony/data/storage/ark-cache
10-26 10:19:16.080   34465-34465   C02C11/org.map...mony/APPSPAWN  pid-34465             E     [sandbox_utils.cpp:345]errno is: 13, private mount to /mnt/sandbox/100/org.maplibre.harmony/data/service/el0/public/for-all-app '524288' failed
10-26 10:19:16.081   34465-34465   C02C11/org.map...mony/APPSPAWN  pid-34465             I     [sandbox_utils.cpp:334]errno is: 2, bind mount /vendor/etc/silk to /mnt/sandbox/100/org.maplibre.harmony/vendor/etc/silk
