10-21 17:51:31.031   52749-52749   C01719/appspawn/ffrt            pid-52749             W     1:ChildHandle:150 ffts shared library handle is null
10-21 17:51:31.492   52749-52749   C02C11/appspawn/APPSPAWN        org.maplibre.harmony  I     [appspawn_server.c:70]AppSpawnChild id 250 flags: 0xc
10-21 17:51:31.493   52749-52749   C02C02/PARAM                    org.maplibre.harmony  I     [param_request.c:326]ResetParamSecurityLabel g_clientFd: 17
10-21 17:51:31.497   52749-52749   C02C11/org.map...mony/APPSPAWN  org.maplibre.harmony  I     [sandbox_utils.cpp:334]errno is: 2, bind mount /system/data to /mnt/sandbox/100/org.maplibre.harmony/system/data
10-21 17:51:31.498   52749-52749   C02C11/org.map...mony/APPSPAWN  org.maplibre.harmony  I     [sandbox_utils.cpp:289]file /mnt/sandbox/100/org.maplibre.harmony/data/service/el1/network/hosts_user/hosts already exist
10-21 17:51:31.498   52749-52749   C02C11/org.map...mony/APPSPAWN  org.maplibre.harmony  I     [sandbox_utils.cpp:334]errno is: 2, bind mount /system/etc/hosts to /mnt/sandbox/100/org.maplibre.harmony/data/service/el1/network/hosts_user/hosts
10-21 17:51:31.498   52749-52749   C02C11/org.map...mony/APPSPAWN  org.maplibre.harmony  I     [sandbox_utils.cpp:334]errno is: 2, bind mount /vendor/lib to /mnt/sandbox/100/org.maplibre.harmony/vendor/lib
10-21 17:51:31.498   52749-52749   C02C11/org.map...mony/APPSPAWN  org.maplibre.harmony  E     [sandbox_utils.cpp:345]errno is: 13, private mount to /mnt/sandbox/100/org.maplibre.harmony/vendor/etc/vulkan '524288' failed
10-21 17:51:31.500   52749-52749   C02C11/org.map...mony/APPSPAWN  org.maplibre.harmony  I     [sandbox_utils.cpp:334]errno is: 2, bind mount /data/local/ark-cache/org.maplibre.harmony to /mnt/sandbox/100/org.maplibre.harmony/data/storage/ark-cache
10-21 17:51:31.502   52749-52749   C02C11/org.map...mony/APPSPAWN  org.maplibre.harmony  E     [sandbox_utils.cpp:345]errno is: 13, private mount to /mnt/sandbox/100/org.maplibre.harmony/data/service/el0/public/for-all-app '524288' failed
10-21 17:51:31.503   52749-52749   C02C11/org.map...mony/APPSPAWN  org.maplibre.harmony  I     [sandbox_utils.cpp:334]errno is: 2, bind mount /vendor/etc/silk to /mnt/sandbox/100/org.maplibre.harmony/vendor/etc/silk
10-21 17:51:31.507   52749-52749   C02C11/org.map...mony/APPSPAWN  org.maplibre.harmony  E     [sandbox_utils.cpp:329]mount /mnt/hmdfs/100/cloud/data/org.maplibre.harmony time 4344 us
10-21 17:51:31.507   52749-52749   C02C11/org.map...mony/APPSPAWN  org.maplibre.harmony  I     [sandbox_utils.cpp:334]errno is: 2, bind mount /system/asan/lib64 to /mnt/sandbox/100/org.maplibre.harmony/system/asan/lib64
10-21 17:51:31.508   52749-52749   C02C11/org.map...mony/APPSPAWN  org.maplibre.harmony  I     [sandbox_utils.cpp:334]errno is: 2, bind mount /vendor/asan/lib64 to /mnt/sandbox/100/org.maplibre.harmony/vendor/asan/lib64
10-21 17:51:31.508   52749-52749   C02C11/org.map...mony/APPSPAWN  org.maplibre.harmony  E     [sandbox_utils.cpp:345]errno is: 13, private mount to /mnt/sandbox/100/org.maplibre.harmony/chip_prod/lib64/passthrough '524288' failed
10-21 17:51:31.509   52749-52749   C02C11/org.map...mony/APPSPAWN  org.maplibre.harmony  I     [sandbox_utils.cpp:334]errno is: 2, bind mount /system/app/ohos.global.systemres to /mnt/sandbox/100/org.maplibre.harmony/data/global/systemResources
10-21 17:51:31.511   52749-52749   C02C11/org.map...mony/APPSPAWN  org.maplibre.harmony  I     [sandbox_utils.cpp:1528]MountAllHsp: app = org.maplibre.harmony, cnt = 12
10-21 17:51:31.513   52749-52749   C02C11/org.map...mony/APPSPAWN  org.maplibre.harmony  I     [sandbox_utils.cpp:500]tmpSandboxPath /mnt/sandbox/100/org.maplibre.harmony/mnt/storage/Users
10-21 17:51:31.513   52749-52749   C02C11/org.map...mony/APPSPAWN  org.maplibre.harmony  I     [sandbox_utils.cpp:500]tmpSandboxPath /mnt/sandbox/100/org.maplibre.harmony/mnt/storage/external
10-21 17:51:31.514   52749-52749   C02C11/org.map...mony/APPSPAWN  org.maplibre.harmony  I     [sandbox_utils.cpp:500]tmpSandboxPath /mnt/sandbox/100/org.maplibre.harmony/mnt/storage/hmdfs
10-21 17:51:31.515   52749-52749   C02C11/org.map...mony/APPSPAWN  org.maplibre.harmony  I     [sandbox_dec.c:203]set SET_DEC_POLICY_CMD sandbox policy success. timestamp:2758074211036
10-21 17:51:31.515   52749-52749   C02C11/org.map...mony/APPSPAWN  org.maplibre.harmony  I     [sandbox_dec.c:205]policy info: /storage/Users/currentUser/Download/org.maplibre.harmony
10-21 17:51:31.515   52749-52749   C02C11/org.map...mony/APPSPAWN  org.maplibre.harmony  E     [appspawn_silk.c:118]Load silk library failed for configItems is NULL
10-21 17:51:31.556   52749-52976   C057C1/org.map...IPCWorkThread  org.maplibre.harmony  I     ThreadHandler 124: proto:0 policy:1 name:OS_IPC_0_52976 invoker:568586880
10-21 17:51:31.558   52749-52749   C05A05/org.map...EnhanceClient  org.maplibre.harmony  I     [RegisterCheckCallback]Register secComp: sessionId=3059882047, seqNum=******636.
10-21 17:51:31.559   52749-52980   C057C1/org.map...IPCWorkThread  org.maplibre.harmony  I     ThreadHandler 124: proto:0 policy:0 name:OS_IPC_1_52980 invoker:500785024
10-21 17:51:31.559   52749-52749   C05A02/org.map...yManagerProxy  org.maplibre.harmony  I     [RegisterSecCompEnhance:329]Result from server data = 0
10-21 17:51:31.559   52749-52749   C02C11/org.map...mony/APPSPAWN  org.maplibre.harmony  I     [appspawn_server.c:34]NotifyResToParent: 0
10-21 17:51:31.562   52749-52749   C02D0B/org.map...ony/HICHECKER  org.maplibre.harmony  I     hichecker param is empty.
10-21 17:51:31.565   52749-52749   C01317/org.map...armony/AppKit  org.maplibre.harmony  I     [main_thread.cpp:2687]App main thread create, pid:52749
10-21 17:51:31.565   52749-52749   C01201/org.mapl...EventHandler  org.maplibre.harmony  I     Create eventHandler 1_2758125245932
10-21 17:51:31.567   52749-52749   C01317/org.map...armony/AppKit  org.maplibre.harmony  I     [main_thread.cpp:361]attach to appMGR.
10-21 17:51:31.570   52749-52976   C01317/org.map...armony/AppKit  org.maplibre.harmony  I     [main_thread.cpp:724]ScheduleLaunchAbility called, ability MaplibreAbility, type is 1.
10-21 17:51:31.571   52749-52749   C03900/org.map...ACE_UIContent  org.maplibre.harmony  I     [74]AceForwardCompatibility [org.maplibre.harmony] force:1 newpipe:1
10-21 17:51:31.572   52749-52749   C03F00/org.map...y/ArkCompiler  org.maplibre.harmony  I     [ecmascript] asmint: 1, aot: 0, jit: 1, baseline jit: 0, bundle name: org.maplibre.harmony
10-21 17:51:31.573   52749-52749   C03F00/org.map...y/ArkCompiler  org.maplibre.harmony  I     [ecmascript] multi-thread check enabled: 0
10-21 17:51:31.597   52749-52988   C057C1/org.map...IPCWorkThread  org.maplibre.harmony  I     ThreadHandler 124: proto:0 policy:0 name:OS_IPC_2_52988 invoker:568597760
10-21 17:51:31.617   52749-52749   C01707/org.map...armony/CONCUR  org.maplibre.harmony  E     [Interface] task 52994 apply qos failed, errno = 1
10-21 17:51:31.617   52749-52749   C03F00/org.map...y/ArkCompiler  org.maplibre.harmony  I     [gc] SmartGC: enter app cold start
10-21 17:51:31.617   52749-52749   C03F00/org.map...y/ArkCompiler  org.maplibre.harmony  I     [gc] SmartGC: startup GC restrain, phase 1 threshold: local 448MB, shared 354MB; phase 2 threshold: local 112MB, shared 145MB
10-21 17:51:31.617   52749-52749   C03301/org.map...harmony/LIBUV  org.maplibre.harmony  I     init:387049934336
10-21 17:51:31.617   52749-52749   C03301/org.map...harmony/LIBUV  org.maplibre.harmony  I     init:387049934336, backend_fd:6
10-21 17:51:31.617   52749-52749   C03301/org.map...harmony/LIBUV  org.maplibre.harmony  I     open:387049934336, pipefd[0]:22
10-21 17:51:31.618   52749-52749   C03F00/org.map...y/ArkCompiler  org.maplibre.harmony  I     [ecmascript] can not find aot file
10-21 17:51:31.618   52749-52749   C03F00/org.map...y/ArkCompiler  org.maplibre.harmony  I     [ecmascript] Stop load AOT because it's not in enable list
10-21 17:51:31.618   52749-52749   C01321/org.map...ony/JsRuntime  org.maplibre.harmony  I     [js_runtime_lite.cpp:455]moduleName: maplibre_harmony parse json success
10-21 17:51:31.619   52749-52749   C01719/org.map....harmony/ffrt  org.maplibre.harmony  I     2:QueueMonitor:41 queue monitor ctor enter
10-21 17:51:31.619   52749-52749   C01719/org.map....harmony/ffrt  org.maplibre.harmony  I     3:QueueMonitor:53 queue monitor ctor leave, watchdog timeout 30000000 us
10-21 17:51:31.619   52749-52749   C01719/org.map....harmony/ffrt  org.maplibre.harmony  I     4:DelayedWorker:205 timerfd:58, monitorfd:59
10-21 17:51:31.628   52749-52749   C03F00/org.map...y/ArkCompiler  org.maplibre.harmony  I     StartServer, componentName = <private>
10-21 17:51:31.628   52749-52749   C01321/org.map...ony/JsRuntime  org.maplibre.harmony  W     [connect_server_manager.cpp:165]not Connected
10-21 17:51:31.628   52749-52749   C03F00/org.map...y/ArkCompiler  org.maplibre.harmony  I     [ecmascript] JSNApi::NotifyDebugMode, tid = 52749, debugApp = 1, isDebugMode = 0, instanceId = 0
